Epoch,Example,AutoencodedExample,Accuracy
4,job_delivery_relaxation>{-15.0}<{-3.0}+{4.0}/{-1.0}/{-1.0}<operation_windup/machine_capacity+machine_cooldown/{-14.0}>pair_expected_work_power*{-7.0}*{0.0}-{-5.0}<{-10.0}/{-15.0}EOS,job_lateness_penalty{-1.0}{-11.0}{0.5}job_time_alive{13.5}{-11.0}{11.5}{12.5}operation_windup{-3.5}{-7.5}{11.0}{13.5}{10.0}{-14.0}{14.5}machine_cooldown{4.0}){7.5}job_relative_deadlinejob_remaining_work_to_complete{-14.0}{0.0}{1.5}{-12.0}{-9.5}{3.0}{-14.5}{-14.0}{-9.5},0.03125
5,job_delivery_relaxation>{-15.0}<{-3.0}+{4.0}/{-1.0}/{-1.0}<operation_windup/machine_capacity+machine_cooldown/{-14.0}>pair_expected_work_power*{-7.0}*{0.0}-{-5.0}<{-10.0}/{-15.0}EOS,job_lateness_penalty{-1.0}{-11.0}{0.5}){13.5}{-11.0}{10.5}{3.0}{-4.0}{-3.5}{-7.5}job_remaining_number_of_operations{-3.5}{-11.0}{5.5}{14.5}machine_cooldown{8.5}pair_number_of_alternative_machines{7.5}job_relative_deadlinejob_remaining_work_to_complete+{0.0}{1.5}{5.0}{-7.5}{3.0}{12.5}{-1.5}{-8.0},0.03125
4,job_delivery_relaxation>{9.0}-job_earliness_penalty/{-3.0}<{-4.0}-{2.0}*{6.0}/{0.0}/{12.0}*{-10.0}*machine_capacity-{12.0}-{-13.0}-{0.0}<{-12.0}-{-5.0}EOS,job_lateness_penalty{-12.5}{5.0}{0.5}{-11.0}{7.5}{-11.0}{-11.0}{3.0}{-4.0}{-3.5}*{11.0}{-1.5}{-10.5}{-5.5}{15.0}warehouse_utilization_rate{4.0})pair_expected_processing_time{-3.5}job_remaining_work_to_complete{13.5}{0.0}{3.5}{5.0}{-7.5}machine_current_breakdown_rate{-14.5}{-14.0}{-5.0},0.03125
5,job_delivery_relaxation>{9.0}-job_earliness_penalty/{-3.0}<{-4.0}-{2.0}*{6.0}/{0.0}/{12.0}*{-10.0}*machine_capacity-{12.0}-{-13.0}-{0.0}<{-12.0}-{-5.0}EOS,job_lateness_penaltymachine_cooldown{5.0}{0.5}{5.0}+{-11.0}job_time_alive{3.0}{-4.0}{-3.5}*job_remaining_number_of_operations/{-15.0}{-12.5}{15.0}warehouse_utilization_rate()pair_expected_processing_time{-3.5}{-14.0}{13.5}{0.0}{9.5}{-9.0}{-7.5}<job_remaining_work_to_complete{-14.0}{-5.0},0.0625
4,job_earliness_penalty*machine_current_breakdown_rate<{2.0}+job_relative_deadline-{-13.0}*{3.0}+{-3.0}-{-4.0}+{0.0}>{11.0}-{0.0}+{-11.0}+{6.0}-job_lateness_penalty<{11.0}+{3.0}EOS,job_lateness_penalty{-12.5}{5.0}NULL-{13.5}{-11.0}{11.5}{12.5}operation_windup{-3.5}{-7.5}{11.0}{-1.5}{10.0}{-9.0}machine_replacement_cooldownwarehouse_utilization_rate{4.0}){7.5}*job_remaining_work_to_complete{-14.0}{0.0}{1.5}{-12.0}{-9.5}{-7.5}{14.0}{-14.0}{-6.0},0.0
5,job_earliness_penalty*machine_current_breakdown_rate<{2.0}+job_relative_deadline-{-13.0}*{3.0}+{-3.0}-{-4.0}+{0.0}>{11.0}-{0.0}+{-11.0}+{6.0}-job_lateness_penalty<{11.0}+{3.0}EOS,job_lateness_penaltymachine_cooldown{5.0}NULL-+{-11.0}{11.5}{12.5}{-6.5}{-3.5}*{11.0}/{2.0}{-9.0}machine_replacement_cooldown{-5.5}{8.5}{3.0}{7.5}pair_number_of_alternative_operationsjob_remaining_work_to_complete{-11.0}{0.0}{1.5}{-12.0}{-9.5}{-7.5}{14.0}{-14.0}operation_work_required,0.03125
4,job_earliness_penalty+pair_expected_processing_time<{14.0}+{-11.0}-{-9.0}*{-5.0}+job_lateness_penalty>{-5.0}<{-12.0}<{3.0}<{10.0}/{10.0}*{2.0}<{10.0}-{-6.0}-{4.0}EOS,job_lateness_penalty{-12.5}{-9.5}NULL-{13.0}{-11.0}{3.0}{-15.0}operation_windup{-3.5}{-7.5}{2.5}{-7.5}{-4.0}job_remaining_work_to_complete{6.5}{-14.0}{8.5}){1.0}job_relative_deadlinejob_remaining_work_to_complete{-14.0}{0.0}{1.5}{-12.0}{-9.5}{4.5}{14.0}{13.0}warehouse_utilization_rate,0.03125
5,job_earliness_penalty+pair_expected_processing_time<{14.0}+{-11.0}-{-9.0}*{-5.0}+job_lateness_penalty>{-5.0}<{-12.0}<{3.0}<{10.0}/{10.0}*{2.0}<{10.0}-{-6.0}-{4.0}EOS,job_lateness_penaltymachine_cooldown{14.5}{-0.5}{-9.5}pair_number_of_alternative_machines{-11.0}machine_cooldown{-15.0}operation_windup{-3.5}{-7.5}job_remaining_number_of_operations/{-4.0}job_remaining_work_to_complete{6.5}{-14.0}{8.5}){1.0}{-3.5}job_remaining_work_to_complete{13.5}{0.0}+{-9.0}{-2.5}{4.5}{14.0}{13.0}>,0.03125
4,job_earliness_penalty/operation_windup/{13.0}/operation_cooldown-{-7.0}<{-1.0}/{7.0}+{-10.0}*{-7.0}>{14.0}*job_relative_deadline*{-10.0}>{15.0}*{3.0}-{4.0}-{6.0}EOS,job_lateness_penalty{5.0}{1.5}NULL{-11.0}{13.5}{-11.0}{-11.0}{-15.0}{-6.5}{-3.5}{-7.5}{11.0}job_delivery_relaxation{-10.5}{-5.5}{6.5}warehouse_utilization_rate{3.5}job_earliness_penalty{1.0}*job_remaining_work_to_complete{15.0}{0.0}{1.5}job_remaining_number_of_operations{-9.5}{-7.5}{14.0}{-7.5}{-7.5},0.03125
5,job_earliness_penalty/operation_windup/{13.0}/operation_cooldown-{-7.0}<{-1.0}/{7.0}+{-10.0}*{-7.0}>{14.0}*job_relative_deadline*{-10.0}>{15.0}*{3.0}-{4.0}-{6.0}EOS,job_lateness_penalty{5.0}NULL{-0.5}job_delivery_relaxation{13.5}{-0.5}machine_cooldown{3.0}{-6.5}{-3.5}{-7.5}{11.0}/{-10.5}{-7.0}{6.5}{-14.0}{3.5}job_earliness_penalty{7.5}*{-14.0}{13.5}{0.0}{9.5}{-9.0}{-9.5}{-7.5}{14.0}{-7.5}{-7.5},0.03125
4,job_earliness_penalty<{-4.0}<{-11.0}<job_relative_deadline/{8.0}>{-13.0}>{-9.0}*{5.0}+job_delivery_relaxation<{2.0}<{14.0}+{-9.0}/{10.0}*machine_cooldown/{-11.0}+job_delivery_relaxationEOS,job_lateness_penalty{-9.0}NULL{0.5}{-11.0}{13.5}{-11.0}{11.5}operation_windup{-6.5}{-3.5}{-7.5}{11.0}{-1.5}{-15.0}{-10.5}machine_replacement_cooldownwarehouse_utilization_rate{4.0}{15.0}{7.5}*job_remaining_work_to_complete{-14.0}pair_expected_processing_time{1.5}{-12.0}{-9.5}{4.5}{12.0}{-7.5}{-6.0},0.03125
5,job_earliness_penalty<{-4.0}<{-11.0}<job_relative_deadline/{8.0}>{-13.0}>{-9.0}*{5.0}+job_delivery_relaxation<{2.0}<{14.0}+{-9.0}/{10.0}*machine_cooldown/{-11.0}+job_delivery_relaxationEOS,job_lateness_penalty{-9.0}{14.5}{4.5}machine_replacement_cooldown{13.5}{-11.0}{11.5}{11.5}{-6.5}{-3.5}{-7.5}job_remaining_number_of_operations{11.0}{-15.0}{-11.5}{6.5}warehouse_utilization_rate{4.0}{4.5}{-0.5}*{-12.5}{13.5}pair_expected_processing_time{11.0}{-9.0}{-9.5}{4.5}{14.0}{13.0}{-8.0},0.0
4,job_earliness_penalty>machine_cooldown/{-3.0}<{-2.0}/{13.0}+{7.0}/{5.0}/job_delivery_relaxation-{-6.0}-{0.0}*{12.0}/machine_cooldown>{4.0}*operation_cooldown>{11.0}<{3.0}EOS,job_lateness_penalty{-12.0}{5.0}NULLjob_time_alive+{-11.0}{14.5}{-15.0}{-9.0}{-3.5}{-7.5}{11.0}{-3.0}{-10.5}{-7.0}{15.0}{-14.0}{10.0}){7.5}*job_remaining_work_to_complete{-14.0}{-13.0}{3.5}{-12.0}{-9.5}{4.5}{14.0}{-7.5}{-6.0},0.0
5,job_earliness_penalty>machine_cooldown/{-3.0}<{-2.0}/{13.0}+{7.0}/{5.0}/job_delivery_relaxation-{-6.0}-{0.0}*{12.0}/machine_cooldown>{4.0}*operation_cooldown>{11.0}<{3.0}EOS,job_lateness_penalty{-1.0}{5.0}{-0.5}job_time_alive+{3.5}job_time_alive{3.0}{-12.0}{-3.5}{-7.5}{11.0}/{-10.5}{-7.0}{15.0}{-14.0}{10.0}){7.5}*job_remaining_work_to_complete{-14.0}{-13.0}{3.5}{-12.0}{-9.5}<{14.0}{-7.5}{-8.5},0.03125
4,job_lateness_penalty+machine_current_breakdown_rate-job_lateness_penalty-{-9.0}/{-1.0}-{-13.0}+job_lateness_penalty>job_relative_deadline-pair_number_of_alternative_machines<{-6.0}-{2.0}>{-5.0}/machine_replacement_cooldown*{12.0}*machine_current_breakdown_rate+job_remaining_number_of_operationsEOS,job_lateness_penaltymachine_cooldownmachine_capacitymachine_cooldownjob_time_alive{7.5}{-11.0}{11.5}{-15.0}operation_windup{-3.5}{-7.5}{11.0}{-7.5}{-10.5}{-5.5}{15.0}warehouse_utilization_rate{0.0})operation_work_required{-1.5}job_remaining_work_to_complete{-7.0}{0.0}{1.5}{-12.0}{-9.5}{4.5}{12.5}{-14.0}operation_work_required,0.03125
5,job_lateness_penalty+machine_current_breakdown_rate-job_lateness_penalty-{-9.0}/{-1.0}-{-13.0}+job_lateness_penalty>job_relative_deadline-pair_number_of_alternative_machines<{-6.0}-{2.0}>{-5.0}/machine_replacement_cooldown*{12.0}*machine_current_breakdown_rate+job_remaining_number_of_operationsEOS,job_lateness_penaltymachine_cooldownmachine_capacitymachine_cooldownoperation_cooldownpair_number_of_alternative_machines{-11.0}({-15.0}operation_windup{-3.5}*job_remaining_number_of_operations{-7.5}{-11.0}job_remaining_work_to_complete{6.5}{-14.0}{8.5}){-0.5}{-1.5}{7.0}{-7.0}{0.0}{11.0}{5.0}{-9.5}{4.5}{12.5}{-14.0}{-8.5},0.03125
4,job_lateness_penalty-{0.0}<{13.0}+machine_current_breakdown_rate+{14.0}-{6.0}>job_earliness_penalty<job_relative_deadline+{-9.0}+{3.0}>{7.0}/job_remaining_work_to_complete>{-11.0}/{-12.0}-warehouse_utilization_rate>{13.0}EOS,job_lateness_penaltyjob_remaining_work_to_complete{-4.0}machine_cooldown{11.0}{13.5}{-3.0}{5.0}{10.0}operation_windup{-3.0}{-7.5}{11.0}/{2.0}{5.0}{15.0}{-14.0}{4.0}{-2.5}{1.0}{-1.5}job_remaining_work_to_complete{6.0}{11.5}{11.0}{5.0}{-2.5}{4.5}{12.0}{13.0}{-8.0},0.09375
5,job_lateness_penalty-{0.0}<{13.0}+machine_current_breakdown_rate+{14.0}-{6.0}>job_earliness_penalty<job_relative_deadline+{-9.0}+{3.0}>{7.0}/job_remaining_work_to_complete>{-11.0}/{-12.0}-warehouse_utilization_rate>{13.0}EOS,job_lateness_penaltyjob_remaining_work_to_complete{-4.0}machine_cooldown{11.0}{-12.5}{-3.0}{5.0}{-15.0}operation_windup{-15.0}{-7.5}EOS/{2.0}{5.0}{15.0}{-14.0}{4.0}{-2.5}{-0.5}{4.5}job_remaining_work_to_complete{9.0}{0.0}{11.0}{-9.0}{-2.5}{4.5}{14.0}{13.0}{-8.0},0.09375
4,job_lateness_penalty/{-1.0}<{5.0}+job_lateness_penalty<{0.0}*machine_current_breakdown_rate*operation_work_required*{10.0}+{-6.0}-job_earliness_penalty-{-14.0}*{3.0}*{-6.0}/{6.0}>pair_number_of_alternative_operations+{11.0}EOS,job_lateness_penalty{-1.0}{-9.5}job_time_alivejob_earliness_penalty{13.5}{-11.0}{3.0}{3.0}{-9.0}{-3.5}{-7.5}{11.0}{13.5}{5.0}{-14.0}{6.5}warehouse_utilization_rate{4.0}){1.0}*job_remaining_work_to_complete{-14.0}{0.0}{1.5}{5.0}{-9.5}{4.5}{12.5}{13.0}{-9.5},0.0625
5,job_lateness_penalty/{-1.0}<{5.0}+job_lateness_penalty<{0.0}*machine_current_breakdown_rate*operation_work_required*{10.0}+{-6.0}-job_earliness_penalty-{-14.0}*{3.0}*{-6.0}/{6.0}>pair_number_of_alternative_operations+{11.0}EOS,job_lateness_penalty{-4.5}{3.5}{0.5}job_earliness_penalty{13.5}{-11.0}{3.0}{3.0}{-4.0}{-3.5}{-7.5}{11.0}/{5.0}job_remaining_work_to_complete{6.5}{-14.0}{4.0}{3.0}{1.0}pair_number_of_alternative_operationsjob_remaining_work_to_complete{-14.0}{0.0}{1.5}{5.0}{-9.5}{4.5}{12.5}{13.0}{-7.5},0.03125
4,job_lateness_penalty<{2.0}<{14.0}*job_remaining_work_to_complete>{-2.0}>{-14.0}/{-1.0}-job_earliness_penalty+{-7.0}/{5.0}<{9.0}+{6.0}-job_earliness_penalty-{12.0}*{-6.0}-{0.0}EOS,job_lateness_penaltymachine_cooldown{-9.5}{0.5}{-11.0}{9.5}{-11.0}{-11.0}{10.0}operation_windup{-3.5}{-7.5}{11.0}job_delivery_relaxation{-4.0}{-5.5}{15.0}machine_cooldown({-2.5}{1.0}{-4.5}job_remaining_work_to_complete{13.5}{0.0}{1.5}job_remaining_number_of_operations{-0.5}{4.5}{-9.5}{-7.5}operation_work_required,0.03125
5,job_lateness_penalty<{2.0}<{14.0}*job_remaining_work_to_complete>{-2.0}>{-14.0}/{-1.0}-job_earliness_penalty+{-7.0}/{5.0}<{9.0}+{6.0}-job_earliness_penalty-{12.0}*{-6.0}-{0.0}EOS,job_lateness_penaltymachine_cooldown{5.0}{0.5}{-11.0}+{-11.0}{-11.0}{9.0}operation_windup{-3.5}{-7.5}{11.0}/{2.0}job_remaining_work_to_complete{6.5}{-14.0}({-2.5}{1.0}{-4.5}job_remaining_work_to_complete{13.5}{0.0}{1.5}{-9.0}{-2.5}{4.5}{-9.5}{-14.0}{-8.0},0.03125
4,job_lateness_penalty>{6.0}+{4.0}*{4.0}+job_delivery_relaxation*{-2.0}<{-7.0}>{-5.0}-{13.0}+{15.0}>{12.0}/machine_current_breakdown_rate*job_earliness_penalty*{-9.0}>job_relative_deadline-{-5.0}EOS,job_lateness_penalty{-4.5}{5.0}NULL{3.5}{7.5}{-5.0}{-11.0}{-15.0}{-6.5}{10.5}{-7.5}{11.0}{13.5}{3.0}{-5.5}{15.0}warehouse_utilization_rate{3.5}){1.0}{-3.5}job_remaining_work_to_complete{-14.0}{0.0}{3.5}{-12.0}{0.0}{4.5}{-9.5}{-14.0}{-9.0},0.03125
5,job_lateness_penalty>{6.0}+{4.0}*{4.0}+job_delivery_relaxation*{-2.0}<{-7.0}>{-5.0}-{13.0}+{15.0}>{12.0}/machine_current_breakdown_rate*job_earliness_penalty*{-9.0}>job_relative_deadline-{-5.0}EOS,job_lateness_penalty{-4.5}NULL{-0.5}{11.0}{4.0}{-5.0}machine_cooldown{3.0}{-6.5}{10.5}{-7.5}job_remaining_number_of_operations/{-11.0}job_remaining_work_to_complete{15.0}{-14.0}{10.0}){1.0}pair_number_of_alternative_operationsjob_remaining_work_to_complete{-14.0}{0.0}+{-9.0}{-2.5}{4.5}{-9.5}{-14.0}{-8.0},0.0625
4,job_relative_deadline*job_remaining_work_to_complete>{4.0}>{-3.0}/{0.0}-{1.0}+{-8.0}/{4.0}>{10.0}<operation_cooldown*pair_expected_work_power<{14.0}+job_earliness_penalty-pair_expected_work_power*job_lateness_penalty<{-15.0}EOS,job_lateness_penaltymachine_cooldown{1.5}NULL{-11.0}{13.5}{-11.0}{3.0}{-15.0}{-6.5}{-3.5}{-7.5}{11.0}/{2.0}{-5.5}{14.5}warehouse_utilization_rate{8.5})pair_expected_processing_time*job_remaining_work_to_complete{4.0}{0.0}+{12.0}{-9.5}{-7.5}{12.0}{-7.5}operation_work_required,0.03125
5,job_relative_deadline*job_remaining_work_to_complete>{4.0}>{-3.0}/{0.0}-{1.0}+{-8.0}/{4.0}>{10.0}<operation_cooldown*pair_expected_work_power<{14.0}+job_earliness_penalty-pair_expected_work_power*job_lateness_penalty<{-15.0}EOS,job_lateness_penaltymachine_cooldown{1.5}{0.5}){13.5}{-11.0}{3.0}{-15.0}{-6.5}{-3.5}{-7.5}job_remaining_number_of_operations/{2.0}job_remaining_work_to_complete{14.5}warehouse_utilization_rate{8.5})pair_expected_processing_time/job_remaining_work_to_complete{13.5}{0.0}+{5.0}{-7.5}{-7.5}{12.0}{-7.5}operation_work_required,0.03125
4,job_remaining_number_of_operations*{-4.0}+{13.0}<machine_replacement_cooldown+{2.0}>{-6.0}<{3.0}-{-2.0}+{12.0}+{8.0}<warehouse_utilization_rate*{-2.0}<{13.0}>job_earliness_penalty-pair_number_of_alternative_machines+{-4.0}EOS,job_lateness_penalty{-9.0}NULL{-3.0}job_time_alive{13.5}{-5.0}{-11.0}{11.5}{-6.5}{-3.5}{-7.5}{11.0}{13.5}{10.0}{-5.5}{14.5}warehouse_utilization_rate{3.5}{3.0}{7.5}*job_remaining_work_to_complete{9.5}{0.0}{1.5}{-9.0}{-9.5}machine_current_breakdown_rate{14.0}{-14.0}{-8.5},0.03125
5,job_remaining_number_of_operations*{-4.0}+{13.0}<machine_replacement_cooldown+{2.0}>{-6.0}<{3.0}-{-2.0}+{12.0}+{8.0}<warehouse_utilization_rate*{-2.0}<{13.0}>job_earliness_penalty-pair_number_of_alternative_machines+{-4.0}EOS,job_lateness_penalty{-4.5}NULL{4.5}operation_work_required{13.5}{-0.5}job_time_alive{11.5}{-6.5}{-3.5}{-7.5}EOS/{-4.0}{10.0}{14.5}warehouse_utilization_rate{3.5}{-2.5}{-0.5}pair_number_of_alternative_operationsjob_remaining_work_to_complete{15.0}{0.0}{11.0}{-9.0}{-7.5}machine_current_breakdown_rate{12.5}{-1.5}{-8.0},0.0
4,job_remaining_number_of_operations-{1.0}*{-15.0}+job_remaining_work_to_complete>{5.0}-job_relative_deadline>{-9.0}/{-2.0}+{-7.0}-pair_expected_processing_time>{-11.0}>{-3.0}+{8.0}+{1.0}>{-10.0}<{7.0}EOS,job_lateness_penalty{-12.5}{-15.0}machine_cooldown{-11.0}{9.5}{-11.0}{-11.0}{3.0}{-9.0}{-3.5}{-7.5}{11.0}{13.5}{10.0}{-5.5}{15.0}warehouse_utilization_rate{4.0}){-0.5}*job_remaining_work_to_complete{-14.0}pair_expected_processing_time{1.5}{5.0}{-7.5}{4.5}{14.0}{-7.5}{-8.5},0.0
5,job_remaining_number_of_operations-{1.0}*{-15.0}+job_remaining_work_to_complete>{5.0}-job_relative_deadline>{-9.0}/{-2.0}+{-7.0}-pair_expected_processing_time>{-11.0}>{-3.0}+{8.0}+{1.0}>{-10.0}<{7.0}EOS,job_lateness_penalty/{-15.0}{15.0}{-9.5}{13.5}{-11.0}{-11.0}{3.0}{-4.0}{-3.5}{-7.5}job_remaining_number_of_operations/{10.0}{-5.5}{15.0}warehouse_utilization_rate{4.0}){-0.5}*job_remaining_work_to_complete{13.5}pair_expected_processing_time){5.0}{-7.5}{4.5}{14.0}{-1.5}{-8.0},0.03125
4,job_remaining_number_of_operations/{1.0}*{1.0}/pair_expected_processing_time<{-10.0}/{-4.0}*{8.0}-{-1.0}>{1.0}+operation_windup*{-5.0}+{11.0}-machine_replacement_cooldown<job_remaining_number_of_operations-{-13.0}+{-7.0}EOS,job_lateness_penalty{-12.5}{5.0}NULLjob_time_alive{13.0}{-0.5}machine_cooldown{-15.0}{-9.0}{-3.5}{-7.5}{11.0}{13.5}{-10.5}{-5.5}{15.0}warehouse_utilization_rate{8.5}){-0.5}*job_remaining_work_to_complete{13.5}{-13.0}{1.5}{5.0}{-9.5}{4.5}{14.0}{-14.0}operation_work_required,0.0
5,job_remaining_number_of_operations/{1.0}*{1.0}/pair_expected_processing_time<{-10.0}/{-4.0}*{8.0}-{-1.0}>{1.0}+operation_windup*{-5.0}+{11.0}-machine_replacement_cooldown<job_remaining_number_of_operations-{-13.0}+{-7.0}EOS,job_lateness_penalty{-4.5}{5.0}{-0.5}job_time_alive+{-0.5}machine_cooldown{3.0}{-6.5}{-3.5}{-7.5}{11.0}/{-10.5}{12.5}{15.0}{-14.0}{10.0}{3.0}{-0.5}*{7.0}{13.5}{0.0}{1.5}{-9.0}{-2.5}{4.5}{14.0}{-14.0}operation_work_required,0.0
4,job_remaining_work_to_complete*{-2.0}+machine_replacement_cooldown-{0.0}<{-2.0}+{-3.0}*{9.0}<{-8.0}*{4.0}<{-13.0}<{-7.0}+{1.0}/{-9.0}*{12.0}-{7.0}-{5.0}EOS,job_lateness_penaltymachine_cooldownNULL{0.5}{-13.5}{7.5}{-11.0}machine_cooldown{3.0}{-6.5}{-3.5}{-7.5}{11.0}{13.5}{10.0}{-5.5}operation_windupwarehouse_utilization_rate{4.0}{3.0}{1.0}{-1.5}job_remaining_work_to_complete{-14.0}{0.0}{11.0}{5.0}{-9.5}{4.5}{14.0}pair_expected_work_power{-8.5},0.0
