Epoch,Example,AutoencodedExample,Accuracy
4,job_lateness_penalty/{-1.0}<{5.0}+job_lateness_penalty<{0.0}*machine_current_breakdown_rate*operation_work_required*{10.0}+{-6.0}-job_earliness_penalty-{-14.0}*{3.0}*{-6.0}/{6.0}>pair_number_of_alternative_operations+{11.0}EOS,pair_number_of_alternative_machines{-6.5}{8.0}{-5.0}{12.0}job_earliness_penaltyNULL){-3.0}{12.5}job_relative_deadline{-6.0}{8.5}{7.0}job_earliness_penalty{-14.5}machine_cooldownNULL{-12.5}{12.5}{-12.0}{1.0}{11.0}operation_work_required{11.5}{6.5}{3.0}{-9.5}{-2.5}{10.5}{10.0}{-15.0},0.0
5,job_lateness_penalty/{-1.0}<{5.0}+job_lateness_penalty<{0.0}*machine_current_breakdown_rate*operation_work_required*{10.0}+{-6.0}-job_earliness_penalty-{-14.0}*{3.0}*{-6.0}/{6.0}>pair_number_of_alternative_operations+{11.0}EOS,machine_cooldown<{8.0}{-6.0}{12.0}job_earliness_penaltyNULL){-3.0}{12.5}job_earliness_penalty{-6.0}{14.0}{5.5}operation_work_required{-13.0}machine_cooldownNULL{-12.5}EOS{-12.0}{1.0}{-9.5}operation_work_required{11.5}machine_capacity{3.0}{-9.5}machine_cooldown{10.5}{10.0}{4.0},0.0
4,job_lateness_penalty<{2.0}<{14.0}*job_remaining_work_to_complete>{-2.0}>{-14.0}/{-1.0}-job_earliness_penalty+{-7.0}/{5.0}<{9.0}+{6.0}-job_earliness_penalty-{12.0}*{-6.0}-{0.0}EOS,pair_number_of_alternative_machines{-6.5}{8.0}{-6.5}machine_capacity{-4.0}{-14.0}{-11.5}{6.0}{12.5}job_remaining_number_of_operations+{14.0}{-9.5}{7.0}{5.5}machine_cooldownNULL{-12.5}{4.0}{-12.0}{1.0}>operation_work_required{-9.0}+{-9.0}{-9.5}{-2.5}{10.5}{2.5}{-7.5},0.0
5,job_lateness_penalty<{2.0}<{14.0}*job_remaining_work_to_complete>{-2.0}>{-14.0}/{-1.0}-job_earliness_penalty+{-7.0}/{5.0}<{9.0}+{6.0}-job_earliness_penalty-{12.0}*{-6.0}-{0.0}EOS,>job_lateness_penalty{8.0}{12.0}job_time_alive{-4.0}{-2.0}>{6.0}{12.5}pair_number_of_alternative_machines{13.5}{14.0}operation_work_required{7.0}operation_cooldownmachine_cooldownpair_expected_processing_time{-12.5}{12.5}{-12.0}{1.0}>operation_work_required{-9.0}+{-9.0}{-9.5}{-2.5}{10.5}{10.0}{6.0},0.03125
4,job_lateness_penalty>{6.0}+{4.0}*{4.0}+job_delivery_relaxation*{-2.0}<{-7.0}>{-5.0}-{13.0}+{15.0}>{12.0}/machine_current_breakdown_rate*job_earliness_penalty*{-9.0}>job_relative_deadline-{-5.0}EOS,pair_number_of_alternative_machinesjob_lateness_penalty{8.0}{-6.5}job_time_aliveNULL{1.5}{6.0}{-3.0}{7.5}{5.5}{-6.0}<{-2.0}{14.5}{5.5}machine_cooldownpair_expected_processing_time{-12.5}{12.5}{-12.0}{1.0}{1.5}operation_work_required{13.0}{-13.0}{-9.0}{11.0}{-2.5}{10.5}{10.0}EOS,0.0625
5,job_lateness_penalty>{6.0}+{4.0}*{4.0}+job_delivery_relaxation*{-2.0}<{-7.0}>{-5.0}-{13.0}+{15.0}>{12.0}/machine_current_breakdown_rate*job_earliness_penalty*{-9.0}>job_relative_deadline-{-5.0}EOS,{3.0}job_lateness_penalty{8.0}{-14.5}job_time_alivejob_earliness_penalty{-11.0}{6.0}{6.0}{7.5}{10.5}{-6.0}+machine_cooldownoperation_work_required{-13.0}machine_cooldownpair_expected_processing_time{-12.5}{12.5}{-12.0}{1.0}{1.5}operation_work_required{13.0}{-13.0}{-9.0}{-9.5}{-2.5}{10.5}{10.0}EOS,0.0625
4,job_relative_deadline*job_remaining_work_to_complete>{4.0}>{-3.0}/{0.0}-{1.0}+{-8.0}/{4.0}>{10.0}<operation_cooldown*pair_expected_work_power<{14.0}+job_earliness_penalty-pair_expected_work_power*job_lateness_penalty<{-15.0}EOS,pair_number_of_alternative_machines){8.0}{-6.5}{-13.5}job_earliness_penaltyNULL{-8.5}{-3.0}{12.5}{5.5}machine_capacity{14.0}{5.5}operation_work_requiredoperation_cooldown{5.0}pair_expected_processing_time*{12.5}{-12.0}{1.0}{11.0}operation_work_requiredpair_expected_processing_time{7.5}{3.0}NULL{-2.5}{-1.0}{10.0}{10.0},0.0
5,job_relative_deadline*job_remaining_work_to_complete>{4.0}>{-3.0}/{0.0}-{1.0}+{-8.0}/{4.0}>{10.0}<operation_cooldown*pair_expected_work_power<{14.0}+job_earliness_penalty-pair_expected_work_power*job_lateness_penalty<{-15.0}EOS,machine_cooldown<{8.0}{12.0}{-13.5}{10.5}{7.0}{-8.5}{-3.0}{12.5}job_earliness_penaltypair_number_of_alternative_machines{14.0}{5.5}operation_work_requiredoperation_cooldownmachine_cooldownpair_expected_processing_time{-12.5}EOS{-12.0}{1.0}{-9.5}operation_work_requiredpair_expected_processing_timemachine_capacity{-3.0}{-14.0}machine_cooldown{-1.0}{10.0}job_time_alive,0.0
4,job_remaining_number_of_operations*{-4.0}+{13.0}<machine_replacement_cooldown+{2.0}>{-6.0}<{3.0}-{-2.0}+{12.0}+{8.0}<warehouse_utilization_rate*{-2.0}<{13.0}>job_earliness_penalty-pair_number_of_alternative_machines+{-4.0}EOS,pair_number_of_alternative_machinesjob_lateness_penalty{8.0}{-6.5}{-1.0}{-4.0}{14.5}{-11.5}{-7.0}{12.5}{-9.0}operation_work_requiredpair_number_of_alternative_operations>operation_work_required{-14.5}machine_cooldownpair_expected_processing_time{-12.5}EOS{-12.0}{1.0}>operation_work_required{-9.0}{6.5}{3.0}{11.0}{-2.5}{-4.0}>EOS,0.03125
5,job_remaining_number_of_operations*{-4.0}+{13.0}<machine_replacement_cooldown+{2.0}>{-6.0}<{3.0}-{-2.0}+{12.0}+{8.0}<warehouse_utilization_rate*{-2.0}<{13.0}>job_earliness_penalty-pair_number_of_alternative_machines+{-4.0}EOS,pair_number_of_alternative_machines-{8.0}{-6.5}job_time_alive{10.5}{14.5}>{-7.0}EOS{10.5}operation_work_requiredpair_number_of_alternative_operations{-10.5}operation_work_required{-13.0}machine_cooldownmachine_capacity{-12.5}EOS{-12.0}{1.0}>pair_number_of_alternative_operations{4.5}{6.5}{3.0}{-9.5}{-2.5}{-4.0}>EOS,0.03125
4,job_remaining_number_of_operations-{1.0}*{-15.0}+job_remaining_work_to_complete>{5.0}-job_relative_deadline>{-9.0}/{-2.0}+{-7.0}-pair_expected_processing_time>{-11.0}>{-3.0}+{8.0}+{1.0}>{-10.0}<{7.0}EOS,pair_number_of_alternative_machinesjob_lateness_penalty{8.0}{-6.5}{-13.5}{-4.0}{1.5}machine_replacement_cooldown{-3.0}<{-9.5}{7.0}pair_number_of_alternative_operationsmachine_cooldownjob_earliness_penalty{-14.5}machine_capacitypair_expected_processing_time{-12.5}{12.5}{10.5}{3.5}{11.0}operation_work_required{13.0}{-13.0}{3.0}{-9.5}{-2.5}{-4.0}{10.0}{-15.0},0.0
5,job_remaining_number_of_operations-{1.0}*{-15.0}+job_remaining_work_to_complete>{5.0}-job_relative_deadline>{-9.0}/{-2.0}+{-7.0}-pair_expected_processing_time>{-11.0}>{-3.0}+{8.0}+{1.0}>{-10.0}<{7.0}EOS,pair_number_of_alternative_machinesjob_lateness_penalty{8.0}{-14.5}job_time_alive{10.5}{-7.5}machine_replacement_cooldown{-3.0}<{-9.5}{7.0}{14.0}machine_cooldown{5.5}{-5.0}machine_cooldownmachine_capacity{-12.5}{12.5}{-6.5}{1.0}{11.0}operation_work_required{4.5}{-13.0}{3.0}{-9.5}{-2.5}{10.5}{10.0}{-15.0},0.0
4,job_remaining_number_of_operations/{1.0}*{1.0}/pair_expected_processing_time<{-10.0}/{-4.0}*{8.0}-{-1.0}>{1.0}+operation_windup*{-5.0}+{11.0}-machine_replacement_cooldown<job_remaining_number_of_operations-{-13.0}+{-7.0}EOS,>{-6.5}{8.0}{-6.5}{-13.5}{-4.0}{1.5}){6.0}{12.5}{5.5}{-6.0}pair_number_of_alternative_operations{12.5}operation_work_required{-6.0}machine_cooldownpair_expected_processing_time{-12.5}EOS{-12.0}{1.0}{11.0}operation_work_required{11.5}{-13.0}{3.0}{-9.5}{-2.5}{-4.0}{10.0}{4.0},0.03125
5,job_remaining_number_of_operations/{1.0}*{1.0}/pair_expected_processing_time<{-10.0}/{-4.0}*{8.0}-{-1.0}>{1.0}+operation_windup*{-5.0}+{11.0}-machine_replacement_cooldown<job_remaining_number_of_operations-{-13.0}+{-7.0}EOS,>{12.0}{8.0}{-5.0}{12.0}NULL{-10.0}>{6.0}EOSjob_earliness_penalty{7.0}machine_capacityjob_earliness_penaltyoperation_work_required{-6.0}machine_cooldownpair_expected_processing_time{-12.5}EOS{-12.0}{1.0}{11.0}operation_work_required{4.5}{-13.0}{3.0}{-9.5}{-2.5}{-4.0}{10.0}EOS,0.0625
4,job_remaining_work_to_complete*{-2.0}+machine_replacement_cooldown-{0.0}<{-2.0}+{-3.0}*{9.0}<{-8.0}*{4.0}<{-13.0}<{-7.0}+{1.0}/{-9.0}*{12.0}-{7.0}-{5.0}EOS,pair_number_of_alternative_machines{-6.5}{8.0}{-6.5}{12.0}NULL{-4.5}{6.0}{-7.0}{7.5}job_earliness_penalty{-6.0}pair_number_of_alternative_operations{7.0}operation_work_required{-6.0}{5.0}pair_expected_processing_time{-12.5}EOS{-12.0}{1.0}{-11.0}{9.0}{4.5}{7.5}{3.0}{-9.5}{-2.5}{-4.0}{10.0}{10.0},0.0
